source,target,ksao,value,origin
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product manager,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
Product designer,Quantitative Skills,Skill,1,Text
